subject,session,path,status,plan_a,dur_min,n_units,evr_pc1,run_src,has_running,r_simple,lag_simple,p_simple,r_partial,p_partial,lag_partial,r_run_pc1,p_run_pc1,r_run_pupil,p_run_pupil,dec_r_glm,dec_tau_glm,dec_r_gru,dec_tau_gru,dec_r_run_glm,dec_r_glm_partial
719817799,744228101.nwb,sub-719817799/sub-719817799_ses-744228101.nwb,ok,True,20.617502073527756,38,0.19084172749527237,processing:running/running_speed,True,0.7110017702335636,0.6000000000000001,0.004497751124437781,0.7163321126501102,0.005497251374312844,0.0,0.17252142563293507,0.48825587206396803,0.3166045958084244,0.009995002498750625,0.19846009699725078,-0.25,0.26113666369608196,-1.0,0.15249793518073,0.19687505081715292
719828686,754312389.nwb,sub-719828686/sub-719828686_ses-754312389.nwb,ok,True,20.617502195597314,107,0.09129363362748094,processing:running/running_speed,True,0.1604444589372565,0.8,0.12143928035982009,0.15084050332308516,0.11944027986006997,-2.1,0.19232372863833713,0.004997501249375313,0.32222406724856206,0.005497251374312844,0.38047839136625444,-0.25,0.3576807394759689,-0.5,0.27575765874059593,0.277787701732168
722882751,743475441.nwb,sub-722882751/sub-722882751_ses-743475441.nwb,ok,True,20.61750014083411,47,0.26930478525788565,processing:running/running_speed,True,0.32442090041231075,3.0,0.07546226886556721,0.31390936295467486,0.1054472763618191,2.6500000000000004,0.06598549070412228,0.5867066466766616,0.12198929250939809,0.2518740629685157,0.3361914361950169,-2.0,0.20527140886381065,-1.0,0.21352596314570457,0.3095533066570204
723627600,742951821.nwb,sub-723627600/sub-723627600_ses-742951821.nwb,ok,True,20.61749807536718,35,0.24736266177454064,processing:running/running_speed,True,0.0539924179415751,3.0,0.7011494252873564,0.04236125788669774,0.7451274362818591,3.0,0.042283270462928874,0.4617691154422789,0.06707656127858982,0.004997501249375313,0.37228944450556595,-0.25,0.3106958247844181,-0.25,0.13671293715220292,0.2706524968716326
726141242,750332458.nwb,sub-726141242/sub-726141242_ses-750332458.nwb,ok,True,20.617498776093257,67,0.1175342153214935,processing:running/running_speed,True,0.2800519297920426,0.8500000000000001,0.07596201899050475,0.09098880274443359,0.19640179910044978,-1.6,0.37906097686885937,0.03698150924537731,0.6451090062485312,0.004997501249375313,0.3775398365196816,-1.0,0.2732171534964665,0.75,0.37416685675351635,0.1682198140051114
726162193,750749662.nwb,sub-726162193/sub-726162193_ses-750749662.nwb,ok,True,20.617501103201104,60,0.15738103059903147,processing:running/running_speed,True,0.16175161054864196,-0.8,0.4702648675662169,0.09143241560861856,0.5122438780609695,0.0,0.1922396649061378,0.21389305347326337,0.5188350155165492,0.004997501249375313,0.15525346380618282,1.5,0.12241945681362403,-0.5,0.11955538474510774,0.10759533327798258
726170927,746083955.nwb,sub-726170927/sub-726170927_ses-746083955.nwb,ok,False,20.617501112723776,14,0.18527915299341643,processing:running/running_speed,True,0.16207473898489796,-3.0,0.5462268865567217,0.3320939554359007,0.21239380309845077,-1.9000000000000001,0.3154402076660156,0.004997501249375313,0.42054051779740503,0.004497751124437781,0.12172687038318546,-0.75,0.13785315602927883,-0.5,0.18771843933118557,-0.020502458978117203
726298249,754829445.nwb,sub-726298249/sub-726298249_ses-754829445.nwb,ok,True,20.61750150652393,95,0.08900648863085037,processing:running/running_speed,True,0.41769269364906314,0.9500000000000001,0.004497751124437781,0.27572397972505036,0.004997501249375313,1.35,0.42202178386744377,0.005497251374312844,0.3149863392564926,0.004497751124437781,0.2173739377913614,-0.5,0.29020553096284946,-0.25,0.18072077267255118,0.12673199559542733
730756767,757970808.nwb,sub-730756767/sub-730756767_ses-757970808.nwb,ok,True,20.61750558173987,88,0.10594542416446653,processing:running/running_speed,True,0.40266912026921853,1.9500000000000002,0.00399800099950025,0.5124786232621373,0.004497751124437781,1.6,0.02044392082748536,0.8940529735132434,0.3856172729599103,0.004997501249375313,0.3108520384133123,-1.25,0.3592873817191571,-0.75,0.19859861883083796,0.35117247277566316
730760263,755434585.nwb,sub-730760263/sub-730760263_ses-755434585.nwb,ok,True,20.61750859494412,82,0.1240013279612922,processing:running/running_speed,True,0.2648099760890679,0.6000000000000001,0.004497751124437781,0.1837840864286587,0.004997501249375313,0.2,0.14609269626974045,0.004997501249375313,0.38257556739324455,0.005497251374312844,0.32147673519621045,-0.5,0.2671746682452044,-0.25,0.09377444849645478,0.23807604121679607
